ip,QUERY,CONNECT,DISCONN,instance_id,name,type,asg,role,env,repo,az
172.17.23.107,5012,0,0,i-0b0e8811c55bbce55,dts-cdetector-staging-iad,c6a.2xlarge,dts-cdetector-staging-iad,dts-cdetector,stage,https://github.com/CognitiveNetworks/dts-cdetector,us-east-1b
172.17.22.52,2370,0,0,i-0636d5f87b5468af2,dts-cdetector-staging-iad,c6a.2xlarge,dts-cdetector-staging-iad,dts-cdetector,stage,https://github.com/CognitiveNetworks/dts-cdetector,us-east-1b
172.17.23.170,1898,0,0,i-0b521156b3a310189,dts-cdetector-staging-iad,c6a.2xlarge,dts-cdetector-staging-iad,dts-cdetector,stage,https://github.com/CognitiveNetworks/dts-cdetector,us-east-1b
172.17.20.166,1468,0,0,i-0cccf294ef08fe9ee,dts-cdetector-staging-iad,c6a.2xlarge,dts-cdetector-staging-iad,dts-cdetector,stage,https://github.com/CognitiveNetworks/dts-cdetector,us-east-1b
172.17.17.121,1438,0,0,i-0db05e2ee37e90ba6,dts-cdetector-staging-iad,c6a.2xlarge,dts-cdetector-staging-iad,dts-cdetector,stage,https://github.com/CognitiveNetworks/dts-cdetector,us-east-1b
172.17.26.168,1382,0,0,i-0a6f0f36ac43c5765,dts-cdetector-staging-iad,c6a.2xlarge,dts-cdetector-staging-iad,dts-cdetector,stage,https://github.com/CognitiveNetworks/dts-cdetector,us-east-1b
172.17.25.231,1358,0,0,i-09778b16c9eeae136,dts-cdetector-staging-iad,c6a.2xlarge,dts-cdetector-staging-iad,dts-cdetector,stage,https://github.com/CognitiveNetworks/dts-cdetector,us-east-1b
172.17.31.78,1342,0,0,i-0b9277c5ed05e5a25,dts-cdetector-staging-iad,c6a.2xlarge,dts-cdetector-staging-iad,dts-cdetector,stage,https://github.com/CognitiveNetworks/dts-cdetector,us-east-1b
172.17.16.126,1294,0,0,i-08e2513d044bd10a0,dts-cdetector-staging-iad,c6a.2xlarge,dts-cdetector-staging-iad,dts-cdetector,stage,https://github.com/CognitiveNetworks/dts-cdetector,us-east-1b
172.17.18.146,1288,0,0,i-0baf44fddfc0c28b9,dts-cdetector-staging-iad,c6a.2xlarge,dts-cdetector-staging-iad,dts-cdetector,stage,https://github.com/CognitiveNetworks/dts-cdetector,us-east-1b
172.17.24.19,1278,0,0,i-0c89005acef1b8c82,dts-cdetector-staging-iad,c6a.2xlarge,dts-cdetector-staging-iad,dts-cdetector,stage,https://github.com/CognitiveNetworks/dts-cdetector,us-east-1b
172.17.30.151,1266,0,0,i-02f3fc557c9a2470d,dts-cdetector-staging-iad,c6a.2xlarge,dts-cdetector-staging-iad,dts-cdetector,stage,https://github.com/CognitiveNetworks/dts-cdetector,us-east-1b
172.17.25.173,1258,0,0,i-0f6089938b8071fe4,dts-cdetector-staging-iad,c6a.2xlarge,dts-cdetector-staging-iad,dts-cdetector,stage,https://github.com/CognitiveNetworks/dts-cdetector,us-east-1b
172.17.31.75,1248,0,0,i-0c55b946728708877,dts-cdetector-staging-iad,c6a.2xlarge,dts-cdetector-staging-iad,dts-cdetector,stage,https://github.com/CognitiveNetworks/dts-cdetector,us-east-1b
172.17.18.221,1246,1,0,i-0208cd8c5f00f607f,dts-cdetector-staging-iad,c6a.2xlarge,dts-cdetector-staging-iad,dts-cdetector,stage,https://github.com/CognitiveNetworks/dts-cdetector,us-east-1b
172.17.27.94,1240,0,0,i-053a6cfd998c80837,dts-cdetector-staging-iad,c6a.2xlarge,dts-cdetector-staging-iad,dts-cdetector,stage,https://github.com/CognitiveNetworks/dts-cdetector,us-east-1b
